"","SCHOOL_CODE","SCHOOL_NAME","AMPH_ID","AMPH_NAME","PROV_ID","PROV_NAME","REGION_NAME","URBAN_ZONE","AREA_CODE_M6","AREA_NAME_M6","BUREA_CODE","BUREA_NAME","SCHOOL_SIZE","thai_avg","soc_avg","eng_avg","math_avg","sci_avg","thai_sd","soc_sd","eng_sd","math_sd","sci_sd","thai_min","soc_min","eng_min","math_min","sci_min","thai_max","soc_max","eng_max","math_max","sci_max","com1"
"2924","1052022005","แม่พริกวิทยา","5209","แม่พริก","52","ลำปาง","เหนือ","SUBURB","10135","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 35","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",40.404761,32.857142,22.876984,20.277777,27.301587,11.903336,4.908228,6.616759,10.579546,6.553311,14.5,23,10,7.5,14,70.5,45,41.25,70,46,-0.374961128568627
"2925","1052022006","แม่ทะประชาสามัคคี","5210","แม่ทะ","52","ลำปาง","เหนือ","SUBURB","10135","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 35","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",40.1875,33,24.21875,24.375,29.75,13.688356,6.763874,7.829668,7.680128,10.201838,21,22,15,15,18.8,59.5,42,41.25,40,45.6,0.158155250035538
"2926","1058022003","เฉลิมรัชวิทยาคม","5806","สบเมย","58","แม่ฮ่องสอน","เหนือ","SUBURB","10134","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 34","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",42.115384,31.423076,22.307692,20.576923,25.76923,10.481036,4.91601,5.103405,8.94179,7.349872,24,23,15,10,10.4,63,40,36.25,47.5,42.4,-0.639788217405205
"2927","1058022004","แม่ลาน้อยดรุณสิกข์","5805","แม่ลาน้อย","58","แม่ฮ่องสอน","เหนือ","SUBURB","10134","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 34","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",41.12037,30.709876,23.834876,23.487654,26.948148,12.77401,6.97587,6.645115,12.276892,7.988744,0.5,12,10,5,7.2,73,48,51.25,82.5,50.4,-0.439678418383587
"2928","1111100118","ประภามนตรี 3","1103","บางพลี","11","สมุทรปราการ","กลาง","SUBURB",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","M",33.785714,27.428571,30.357142,19.642857,23.028571,11.504213,3.658928,14.263375,3.642156,2.745237,19.5,24,17.5,12.5,19.2,54,34,63.75,25,26.4,-1.51291482620202
"2929","1111100119","สารสาสน์วิเทศสุวรรณภูมิ","1103","บางพลี","11","สมุทรปราการ","กลาง","SUBURB",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","XL",51.225,35.75,40.666666,37.666666,29.773333,14.94418,6.751851,15.313507,24.29792,11.235982,19,17,17.5,5,9.6,75.5,51,82.5,97.5,64.8,2.6619013482662
"2930","1112100004","สาธิตคริสเตียนวิทยา","1201","เมืองนนทบุรี","12","นนทบุรี","กลาง","URBAN",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","S",30.875,29.5,76.25,28.125,29.2,8.546746,1.5,10.383279,13.272975,3.212475,22,27,65,17.5,25.6,45,31,90,50,34.4,2.09627193834101
"2931","1176100001","อรุณประดิษฐ","7601","เมืองเพชรบุรี","76","เพชรบุรี","ตะวันตก","URBAN",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","XL",40.653508,32.403508,25.405701,25.263157,27.103508,11.542853,5.782948,7.689486,12.468683,7.273783,13,15,10,0,8.4,66.5,47,60,75,52.4,-0.0569092091853339
"2932","1176100002","สุวรรณรังสฤษฎิ์วิทยาลัย","7601","เมืองเพชรบุรี","76","เพชรบุรี","ตะวันตก","URBAN",NA,NA,"11","สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน","XL",37.574468,32.148936,23.05851,20.053191,24.468085,10.377952,5.002037,7.909093,9.460013,7.090572,18.5,19,12.5,7.5,11.2,63.5,43,57.5,57.5,43.2,-0.913201744697866
"2933","1036020056","บ้านหนองข่า (คุรุประชาวิทยา)","3604","เกษตรสมบูรณ์","36","ชัยภูมิ","ตะวันออกเฉียงเหนือ","SUBURB","3602","สพป.ชัยภูมิ เขต 2","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",33.725,30.85,22.3125,20,23.88,11.36604,5.729528,5.649598,5.863019,5.572934,16,21,11.25,5,14.4,62.5,41,36.25,27.5,34.4,-1.39522766746723
"2934","1090012001","มหาวชิราวุธ จังหวัดสงขลา","9001","เมืองสงขลา","90","สงขลา","ใต้","URBAN","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",60.238211,40.843902,41.737357,50.605691,37.298051,12.229903,7.508806,14.987915,24.396558,11.927184,18,15,11.25,5,2,90,70,91.25,100,86.8,5.28981375911115
"2935","1090012002","สทิงพระวิทยา","9002","สทิงพระ","90","สงขลา","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",45.057894,32.326315,23.986842,26.394736,27.738947,11.834355,5.388964,7.805815,12.072784,6.677099,14,19,13.75,5,14.8,67.5,46,55,92.5,45.6,0.220022658999679
"2936","1090012003","สทิงพระชนูปถัมภ์","9002","สทิงพระ","90","สงขลา","ใต้","SUBURB","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","S",42.384615,34.692307,24.134615,20.576923,26.492307,16.098439,4.841878,5.401758,8.94179,5.59814,17,28,13.75,7.5,15.2,63,42,36.25,45,35.6,-0.0289345851234225
"2937","1090012004","วรนารีเฉลิม จังหวัดสงขลา","9001","เมืองสงขลา","90","สงขลา","ใต้","URBAN","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",52.454545,36.722222,31.534653,33.153465,31.591287,12.037448,6.974317,11.323989,16.537348,8.409382,17.5,19,12.5,7.5,10,88.5,73,86.25,97.5,69.2,2.32962923559556
"2938","1090012005","นวมินทราชูทิศ ทักษิณ","9001","เมืองสงขลา","90","สงขลา","ใต้","URBAN","10116","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 16","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",46.786,34.112,26.825,28.76,27.1056,13.697488,5.872942,8.147123,14.44342,7.35474,13,18,10,2.5,10,77.5,55,66.25,92.5,50.4,0.751195205443283
"2939","1021022001","แกลง (วิทยสถาวร)","2103","แกลง","21","ระยอง","ตะวันออก","SUBURB","10118","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 18","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","XL",50.880636,35.981382,31.628989,38.676861,33.812201,13.757626,7.258321,11.872452,21.295977,11.626732,2,16,10,2.5,9.6,79.5,62,81.25,100,80.8,2.65515411827007
"2940","1021022002","วังจันทร์วิทยา","2104","วังจันทร์","21","ระยอง","ตะวันออก","SUBURB","10118","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 18","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","L",47.202439,34.356097,26.884146,28.451219,30.150243,13.639674,6.941221,9.463199,15.051054,8.284414,12.5,15,8.75,5,13.6,77.5,59,61.25,87.5,55.6,1.10478525975461
"2941","1021022003","เขาชะเมาวิทยา","2107","เขาชะเมา","21","ระยอง","ตะวันออก","SUBURB","10118","สำนักงานเขตพื้นที่การศึกษามัธยมศึกษา เขต 18","10","สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน","M",50.451612,34.193548,24.919354,29.596774,30.787096,12.367595,6.746179,6.621503,16.09068,9.15613,25.5,20,17.5,10,13.6,74,50,52.5,92.5,54.4,1.27915905239576
